Nº Eletro,Nº Parada,Nº Parada,SEP,Endereço,Bairro,Latitude,Longitude,Filial,Modelo de Abrigo,QTDE. CAIXA DIGITAL,FACE DIGITAL,DIGITAL  POSIÇÃO,DIGITAL TIPO,TIPO DE PAINEL DIGITAL,QTDE. CAIXA ESTATICA, FACE ESTATICA,ESTATICO POSIÇÃO,ESTATICO  TIPOS,OBSERVAÇÃO
A01581,810009934,810009934,,"AVENIDA LEBLON (PRACA MARCELO COSTA TAVARES ), 321",SOCORRO,"-23,681164","-46,71043",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01582,850014044,850014044,48979,"AVENIDA ALBERTO AUGUSTO ALVES (RUA MANOEL CARNEIRO/ AVENIDA JOAO DIAS ), 50",VILA ANDRADE,"-23,64174","-46,735299",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),1,1,180°,SUSPENSO,
A01584,850015995-1,850015995,,"AVENIDA MAJOR SYLVIO DE MAGALHAES PADILHA, 16747",VILA ANDRADE,"-23,630197","-46,717298",Sul,BRUTALISTA,,,,,,2,2,180°,SIMPLES,
A01585,850015995-2,850015995,,"AVENIDA MAJOR SYLVIO DE MAGALHAES PADILHA, 16747",VILA ANDRADE,"-23,630197","-46,717298",Sul,BRUTALISTA,,,,,,2,2,180°,SIMPLES,
A01586,850011168,850011168,43142,"RUA JOSE RAMON URTIZA, 181",VILA ANDRADE,"-23,635108","-46,734091",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),1,1,45°,SIMPLES,
A01588,920016410-1,920016410,,"AVENIDA BERNARDINO DE CAMPOS (VIADUTO STA GENEROSA - METRO PARAISO ), SN",VILA MARIANA,"-23,575482","-46,641281",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES,
A01589,920016410-2,920016410,33010,"AVENIDA BERNARDINO DE CAMPOS (VIADUTO STA GENEROSA - METRO PARAISO ), SN",VILA MARIANA,"-23,575482","-46,641281",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/DS,1,1,180°,SIMPLES,
A01590,9206289,9206289,33011,"AVENIDA BERNARDINO DE CAMPOS, 150",VILA MARIANA,"-23,572367","-46,643199",Sul,NEW TECH,1,1,90°,SIMPLES,BOE (DS),,,,,
A01591,920016411,920016411,,"AVENIDA BERNARDINO DE CAMPOS (RUA DO PARAÍSO ), OP 150",VILA MARIANA,"-23,572671","-46,642663",Sul,CAOS ESTRUTURADO,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01592,920015056,920015056,,"AVENIDA CONSELHEIRO RODRIGUES ALVES, 243",VILA MARIANA,"-23,583058","-46,640888",Sul,CAOS ESTRUTURADO,,,,,,,,,,
A01593,920015236,920015236,32647,"AVENIDA CONSELHEIRO RODRIGUES ALVES, OP 1275",VILA MARIANA,"-23,588082","-46,648301",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE (DS),1,1,180°,SIMPLES,
A01594,530015238,530015238,33174,"AVENIDA DOUTOR DANTE PAZZANESE (AVENIDA CONS RODRIGUES ALVES ), SN",MOEMA,"-23,586172","-46,648087",Sul,NEW TECH,1,1,90°,SIMPLES,BOE/DS,,,,,
A01595,530015239,530015239,43002,"AVENIDA DOUTOR DANTE PAZZANESE (AVENIDA PEDRO ALVARES CABRAL/ AVENIDA CONSELHEIRO RODRIGUES ALVES), 295",MOEMA,"-23,585544","-46,650945",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),1,1,180°,SUSPENSO,
A01596,920016714,920016714,,"AVENIDA ENGENHEIRO LUIS GOMES CARDIM SANGIRARDI (PRACA ANAPOPIS ), OP 252",VILA MARIANA,"-23,581122","-46,628963",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01597,920016069,920016069,,"AVENIDA LACERDA FRANCO (RUA CEL DIOGO ), OP 1855",VILA MARIANA,"-23,578953","-46,625736",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01598,920016070,920016070,,"AVENIDA LACERDA FRANCO, OP 2067",VILA MARIANA,"-23,58088","-46,626134",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01599,920016071,920016071,,"AVENIDA LACERDA FRANCO, OP 2093",VILA MARIANA,"-23,581221","-46,62621",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01600,920016363,920016363,32649,"AVENIDA PROFESSOR NOE AZEVEDO, OP 208",VILA MARIANA,"-23,588696","-46,634411",Sul,CAOS LEVE,1,1,90°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01601,920016366,920016366,33182,"AVENIDA PROFESSOR NOE AZEVEDO, 208",VILA MARIANA,"-23,588917","-46,634789",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/DS,1,1,180°,SUSPENSO,
A01603,530015173-1,530015173,,"RUA BORGES LAGOA (HOSPITAL SERVIDOR PUBLICO), 1755",MOEMA,"-23,596176","-46,653341",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01604,530015173-2,530015173,43128,"RUA BORGES LAGOA (HOSPITAL SERVIDOR PUBLICO), 1755",MOEMA,"-23,596176","-46,653341",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE (AA),1,1,180°,SUSPENSO,
A01605,920015206,920015206,43126,"RUA BORGES LAGOA (RUA TEN GOMES RIBEIRO ), OP 125",VILA MARIANA,"-23,597258","-46,637924",Sul,NEW TECH,1,1,45°,SIMPLES,BOE (AA),,,,,
A01607,920015204,920015204,43129,"RUA BORGES LAGOA, 897",VILA MARIANA,"-23,596935","-46,645528",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01608,920015203,920015203,30940,"RUA BORGES LAGOA (RUA JOSÉ DE MAGALHÃES ), 1317",VILA MARIANA,"-23,596607","-46,64936",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01609,530015174-1,530015174,,"RUA BORGES LAGOA, 1603",MOEMA,"-23,596324","-46,652577",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01610,530015174-2,530015174,43127,"RUA BORGES LAGOA, 1603",MOEMA,"-23,596324","-46,652577",Sul,CAOS LEVE,1,1,45°,SIMPLES,BOE/AA,1,1,180°,SUSPENSO,
A01611,920015211,920015211,43130,"RUA BOTUCATU (RUA DRº DIOGO DE FARIA), OP 537",VILA MARIANA,"-23,596162","-46,642562",Sul,CAOS ESTRUTURADO,1,1,45°,SIMPLES,BOE (AA),,,,,
A01612,920016062,920016062,,"RUA CORONEL DIOGO (RUA VASCONCELOS DRUMOND ), 1401",VILA MARIANA,"-23,581029","-46,615359",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01613,920016061,920016061,,"RUA CORONEL DIOGO (RUA ROCHA GALVÃO ), 1430",VILA MARIANA,"-23,581356","-46,615122",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01616,9206248,9206248,32651,"RUA DOMINGOS DE MORAIS , 512",VILA MARIANA,"-23,58142","-46,639042",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,BOE (DS),,,,,
A01617,920016367,920016367,30939,"RUA DOMINGOS DE MORAIS , 2012",VILA MARIANA,"-23,593756","-46,636769",Sul,CAOS ESTRUTURADO,1,1,90°,SIMPLES,CHINA,,,,,
A01618,920016361-1,920016361,,"RUA DOMINGOS DE MORAIS , OP 2544",VILA MARIANA,"-23,599342","-46,636503",Sul,CAOS ESTRUTURADO,,,,,,2,2,180°,SIMPLES,
A01619,920016361-2,920016361,,"RUA DOMINGOS DE MORAIS , OP 2544",VILA MARIANA,"-23,599342","-46,636503",Sul,CAOS ESTRUTURADO,,,,,,1,2,90°,DUPLA FACE,
A01620,790016359,790016359,,"RUA DOMINGOS DE MORAIS (RUA OUVIDORUA PELEJA ), 3015",SAUDE,"-23,603027","-46,636561",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
A01621,920015268,920015268,,"RUA DOUTOR AMANCIO DE CARVALHO, OP 507",VILA MARIANA,"-23,585755","-46,647776",Sul,CAOS LEVE,,,,,,2,2,180°,SIMPLES/SUSPENSO,
