,FILIAL,SEMANA,MODELO,PREVISTO,SEMANA CONCLUIDO,PENDENTE,% TOTAL,acum. Previsão,acum. Conclusão,% individual
,FILIAL LESTE,19º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,15,43,287%
,FILIAL LESTE,20º SEMANA,CAOS ESTRUTURADO,"9,00","0,00","9,00",0%,24,43,179%
,FILIAL LESTE,21º SEMANA,CAOS ESTRUTURADO,"24,00","0,00","24,00",0%,48,43,90%
,FILIAL LESTE,22º SEMANA,CAOS ESTRUTURADO,"0,00","0,00","0,00",0%,48,43,90%
,FILIAL LESTE,03º SEMANA,CAOS LEVE,"35,00","29,00","6,00",83%,35,29,83%
,FILIAL LESTE,04º SEMANA,CAOS LEVE,"35,00","49,00","-14,00",140%,70,78,111%
,FILIAL LESTE,05º SEMANA,CAOS LEVE,"34,00","9,00","25,00",26%,104,87,84%
,FILIAL LESTE,06º SEMANA,CAOS LEVE,"33,00","0,00","33,00",0%,137,87,64%
,FILIAL LESTE,07º SEMANA,CAOS LEVE,"33,00","8,00","25,00",24%,170,95,56%
,FILIAL LESTE,08º SEMANA,CAOS LEVE,"33,00","1,00","32,00",3%,203,96,47%
,FILIAL LESTE,09º SEMANA,CAOS LEVE,"34,00","3,00","31,00",9%,237,99,42%
,FILIAL LESTE,10º SEMANA,CAOS LEVE,"35,00","35,00","0,00",100%,272,134,49%
,FILIAL LESTE,11º SEMANA,CAOS LEVE,"34,00","19,00","15,00",56%,306,153,50%
,FILIAL LESTE,12º SEMANA,CAOS LEVE,"9,00","51,00","-42,00",567%,315,201,64%
,FILIAL LESTE,13º SEMANA,CAOS LEVE,"0,00","22,00","-22,00",0%,315,223,71%
,FILIAL LESTE,14º SEMANA,CAOS LEVE,"0,00","41,00","-41,00",0%,315,228,72%
,FILIAL LESTE,15º SEMANA,CAOS LEVE,"0,00","24,00","-24,00",0%,315,228,72%
,FILIAL LESTE,16º SEMANA,CAOS LEVE,"0,00","12,00","-12,00",0%,315,228,72%
,FILIAL LESTE,17º SEMANA,CAOS LEVE,"0,00","0,00","0,00",0%,315,228,72%
,FILIAL LESTE,18º SEMANA,CAOS LEVE,"0,00","0,00","0,00",0%,315,228,72%
,FILIAL LESTE,19º SEMANA,CAOS LEVE,"0,00","0,00","0,00",0%,315,228,72%
,FILIAL LESTE,20º SEMANA,CAOS LEVE,"0,00","0,00","0,00",0%,315,228,72%
,FILIAL LESTE,21º SEMANA,CAOS LEVE,"0,00","4,00","-4,00",0%,315,228,72%
,FILIAL LESTE,22º SEMANA,CAOS LEVE,"0,00","0,00","0,00",0%,315,228,72%
,FILIAL LESTE,03º SEMANA,MINIMALISTA LEVE,"0,00","17,00","-17,00",0%,0,17,0%
,FILIAL LESTE,04º SEMANA,MINIMALISTA LEVE,"23,00","29,00","-6,00",126%,23,46,200%
,FILIAL LESTE,05º SEMANA,MINIMALISTA LEVE,"19,00","12,00","7,00",63%,42,58,138%
,FILIAL LESTE,06º SEMANA,MINIMALISTA LEVE,"19,00","14,00","5,00",74%,61,72,118%
,FILIAL LESTE,07º SEMANA,MINIMALISTA LEVE,"28,00","1,00","27,00",4%,89,73,82%
,FILIAL LESTE,08º SEMANA,MINIMALISTA LEVE,"19,00","6,00","13,00",32%,108,79,73%
